system	id	lang	usecase	WER_percent	CER_percent	reference	ASR_hypothesis
ours	sarvam_ml_0041	ml	AI Assistants	14.285714285714285	9.375	ശരി, Kids Room എസി 18°C ആക്കുന്നു.	ശരി, kids room AC 18°C ആക്കുന്നു.
sarvam	sarvam_ml_0041	ml	AI Assistants	42.857142857142854	18.75	ശരി, Kids Room എസി 18°C ആക്കുന്നു.	ശെരി kids room AC 18°C ആകുന്നു.
ours	sarvam_mr_0050	mr	AI Assistants	37.5	27.058823529411764	Done. मी तुमच्या Zepto cart मध्ये Maggi Noodles आणि 1 kg Aashirvaad Atta add केले आहेत.	मी तुमच्या Zepto cartमध्ये Maggi noodles आणि 1 kg आशीर्वाद ॲट ॲड केले आहेत.
sarvam	sarvam_mr_0050	mr	AI Assistants	68.75	52.94117647058824	Done. मी तुमच्या Zepto cart मध्ये Maggi Noodles आणि 1 kg Aashirvaad Atta add केले आहेत.	डन, मी तुमच्या झेप्टो कार्टमध्ये मॅगी नूडल्स आणि 1kg आशीर्वाद आटा ॲड केले आहेत.
ours	sarvam_mr_0051	mr	AI Assistants	18.181818181818183	13.953488372093023	ठीक आहे, Living Room एसी 22°C वर सेट करत आहे.	ठीक आहे, living room AC 22°C वर set करत आहे.
sarvam	sarvam_mr_0051	mr	AI Assistants	36.36363636363637	58.139534883720934	ठीक आहे, Living Room एसी 22°C वर सेट करत आहे.	ठीक आहे, लिविंग रूम एसी 22 डिग्री सेल्सियस वर सेट करत आहे.
ours	sarvam_od_0060	or	AI Assistants	53.333333333333336	39.24050632911392	Done. ମୁଁ 5kg Aashirvaad Atta ଆଉ Amul Butter କୁ ତୁମର Amazon cart ରେ add କରିଦେଇଛି।	ମୁଁ 5 kg ଆଶୀର୍ବାଦ ଆଟା ଆଉ ଆମୋଲ ବଟରକୁ ତୁମର Amazon cart-ରେ add କରିଦେଇଛି।
sarvam	sarvam_od_0060	or	AI Assistants	40.0	27.848101265822784	Done. ମୁଁ 5kg Aashirvaad Atta ଆଉ Amul Butter କୁ ତୁମର Amazon cart ରେ add କରିଦେଇଛି।	ଡନ୍, ମୁଁ 5 kg ଆଶୀର୍ବାଦ ଆଟା ଆଉ Amul butter-କୁ ତୁମର Amazon cart-ରେ add କରିଛି।
ours	sarvam_od_0061	or	AI Assistants	75.0	71.73913043478261	ଠିକ ଅଛି, Guest Room ର ଏସି କୁ 20°C ରେ ସେଟ୍ କରୁଛି।	ଫିକୋ ଅଛି ଗେଷ୍ଟ ରୁମ୍ର ଏସିକୁ କୋଡ଼ିଏ ଡିଗ୍ରୀ ସେଲସିୟସ୍ରେ ସେଟ୍ କରୁଛି।
sarvam	sarvam_od_0061	or	AI Assistants	66.66666666666666	23.91304347826087	ଠିକ ଅଛି, Guest Room ର ଏସି କୁ 20°C ରେ ସେଟ୍ କରୁଛି।	ଠିକ୍ ଅଛି, guest roomର ACକୁ 20°Cରେ set କରୁଛି।
ours	sarvam_pa_0070	pa	AI Assistants	64.70588235294117	51.162790697674424	Done. ਮੈਂ Amul Butter ਤੇ 5kg Aashirvaad Atta ਨੂੰ ਤੁਹਾਡੇ Zepto cart ਵਿੱਚ add ਕਰ ਦਿੱਤਾ ਹੈ।	ਮੈਂ ਅਮੋ ਬਟ ਅਤੇ 5 kg ਆਸ਼ੀਰਵਾਦ ਅੱਠ ਨੂੰ ਤੁਹਾਡੇ ਜ਼ੈਪਟੋਕਾਰਡ ਵਿੱਚ ਐਡ ਕਰ ਦਿੱਤਾ ਹੈ।
sarvam	sarvam_pa_0070	pa	AI Assistants	58.82352941176471	52.32558139534884	Done. ਮੈਂ Amul Butter ਤੇ 5kg Aashirvaad Atta ਨੂੰ ਤੁਹਾਡੇ Zepto cart ਵਿੱਚ add ਕਰ ਦਿੱਤਾ ਹੈ।	ਡਨ, ਮੈਂ ਅਮੂਲ ਬਟਰ ਅਤੇ 5 ਕਿਲੋਗ੍ਰਾਮ ਆਸ਼ੀਰਵਾਦ ਆਟਾ ਨੂੰ ਤੁਹਾਡੇ Zepto ਕਾਰਟ ਵਿੱਚ ਐਡ ਕਰ ਦਿੱਤਾ ਹੈ।
ours	sarvam_pa_0071	pa	AI Assistants	21.428571428571427	21.568627450980394	ਠੀਕ ਹੈ, Living Room ਦਾ ਏ.ਸੀ. 22°C 'ਤੇ ਸੈੱਟ ਕਰ ਰਿਹਾ ਹਾਂ।	ਠੀਕ ਹੈ, Living Room ਦਾ AC 22°C ਪ੍ਰਾਈਮ 'ਤੇ ਸੈੱਟ ਕਰ ਰਿਹਾ ਹਾਂ।
sarvam	sarvam_pa_0071	pa	AI Assistants	42.857142857142854	52.94117647058824	ਠੀਕ ਹੈ, Living Room ਦਾ ਏ.ਸੀ. 22°C 'ਤੇ ਸੈੱਟ ਕਰ ਰਿਹਾ ਹਾਂ।	ਠੀਕ ਹੈ, ਲਿਵਿੰਗ ਰੂਮ ਦਾ ਏਸੀ ਬਾਈ ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਤੇ ਸੈੱਟ ਕਰ ਰਿਹਾ ਹਾਂ।
ours	sarvam_ta_0080	ta	AI Assistants	64.28571428571429	69.86301369863014	Done. உங்க Zepto cart-ல Aashirvaad Atta மற்றும் 1 kg Dal-ஐ add பண்ணிட்டேன்.	டன், உங்க ஜெப்டோ கார்ட்ல ஆசீர்வாட் ஆட்டம் மற்றும் 1 கிலோகிராம்ஸ் டால் ஐ ஆட் பண்ணிட்டேன்.
sarvam	sarvam_ta_0080	ta	AI Assistants	21.428571428571427	13.698630136986301	Done. உங்க Zepto cart-ல Aashirvaad Atta மற்றும் 1 kg Dal-ஐ add பண்ணிட்டேன்.	டன், உங்க Zepto cart-ல Aashirvaad Atta மற்றும் 1 kg தெல்லை add பண்ணிட்டேன்.
ours	sarvam_ta_0081	ta	AI Assistants	25.0	11.904761904761903	சரி, Living Room ஏசியை 22°C-க்கு வைக்கிறேன்.	சரி, living room AC-ஐ 22°C-க்கு வைக்கிறேன்.
sarvam	sarvam_ta_0081	ta	AI Assistants	25.0	11.904761904761903	சரி, Living Room ஏசியை 22°C-க்கு வைக்கிறேன்.	சரி, living room AC-ஐ 22°C-க்கு வைக்கிறேன்.
ours	sarvam_te_0090	te	AI Assistants	53.84615384615385	45.45454545454545	Done. మీ BigBasket cart లో Maggi Noodles మరియు 500g Aashirvaad Atta add చేశాను.	డన్ మీ బిగ్ బాస్కెట్ కార్ట్ లో Maggi noodles మరియు 500g Ashiwad అట్ట యాడ్ చేశాను.
sarvam	sarvam_te_0090	te	AI Assistants	84.61538461538461	76.62337662337663	Done. మీ BigBasket cart లో Maggi Noodles మరియు 500g Aashirvaad Atta add చేశాను.	డన్, మీ బిగ్ బాస్కెట్ కార్ట్‌లో మ్యాగీ నూడుల్స్ మరియు 500 జీ ఆశీర్వాద్ అట్టా యాడ్ చేశాను.
ours	sarvam_te_0091	te	AI Assistants	22.22222222222222	6.382978723404255	సరే, Living Room ఏసీని 20°C కి సెట్ చేస్తున్నాను.	సరే, living room AC-ని 20°C-కి సెట్ చేస్తున్నాను.
sarvam	sarvam_te_0091	te	AI Assistants	44.44444444444444	17.02127659574468	సరే, Living Room ఏసీని 20°C కి సెట్ చేస్తున్నాను.	సరే, living room ACని 20°Cకి set చేస్తున్నాను.
